votes_1994,turnout_1994,turnout_2000,pri_1994_votes,pri_2000_share,pan_1994_votes,pan_2000_share,prd_1994_votes,prd_2000_share,intent_to_treat,early_progresa,poverty,population,share_eligible,num_villages
211,0.6781178116798401,0.7740863561630249,175,0.5813953280448914,16,0.10631228983402252,4,0.04651162773370743,1,0.8586956262588501,5,560,1,4
127,0.5621155500411987,0.6558139324188232,119,0.4232558012008667,2,0,3,0.19069766998291016,1,1,5,434,1,1
83,0.4803188145160675,0.6475409865379333,75,0.5,4,0.05737704783678055,2,0.07377049326896667,1,1,4,263,1,2
144,0.5803351998329163,0.7412280440330505,114,0.6359649300575256,6,0.017543859779834747,11,0.05701754242181778,1,1,5,493,1,1
228,0.6690078377723694,0.7734375,215,0.6432291865348816,5,0.1015625,5,0.01822916604578495,1,1,4.400000095367432,750,1,5
146,0.5897251963615417,0.6255707740783691,136,0.45205479860305786,2,0.14155250787734985,2,0.013698630034923553,0,0.5094339847564697,5,527,1,3
213,0.6597328186035156,0.7348993420600891,200,0.43959730863571167,2,0.2214765101671219,2,0.06040268391370773,0,0.6865671873092651,5,684,1,5
439,0.6131667494773865,0.5253623127937317,402,0.39613527059555054,7,0.03864734247326851,12,0.047101449221372604,0,0.8401826620101929,5,1573,1,4
89,0.617819607257843,1,83,0.8702290058135986,1,0.007633587811142206,3,0.007633587811142206,1,1,5,320,1,1
343,0.5070086121559143,0.5080057978630066,222,0.3260553181171417,0,0.03639010339975357,66,0.08588063716888428,1,0.9644970297813416,5,1369,1,7
251,0.3582594394683838,0.5204216241836548,177,0.28985506296157837,6,0.03689064458012581,58,0.1198946014046669,1,0.9491525292396545,5,1337,1,12
107,0.44977620244026184,0.502109706401825,53,0.25738397240638733,10,0.04641350358724594,19,0.16877637803554535,0,0.3799999952316284,5,453,1,5
302,0.5162314772605896,0.6811594367027283,157,0.34989649057388306,23,0.1304347813129425,43,0.14492753148078918,0,0.6168224215507507,4.800000190734863,1150,1,5
346,0.46033912897109985,0.5109170079231262,172,0.23144105076789856,12,0.06404657661914825,51,0.1877729296684265,0,0.8467742204666138,5,1382,1,11
389,0.40835192799568176,0.6019845604896545,200,0.3252480626106262,26,0.06615214794874191,100,0.16538037359714508,1,0.9955357313156128,5,2100,1,12
366,0.5025649070739746,0.6440678238868713,223,0.45621469616889954,16,0.10169491171836853,49,0.04237288236618042,1,1,5,1716,1,10
