"","name","ICPSR2","presidentialvoteshare.1986","presidentialvoteshare.1990","presidentialvoteshare.1992","presidentialvoteshare.1994","presidentialvoteshare.1996","presidentialvoteshare.1998","presidentialvoteshare.2000","presidentialvoteshare.2002","presidentialvoteshare.2004","presidentialvoteshare.2006","presidentialvoteshare.2008","presidentialvoteshare.2014","presidentialvoteshare.2016","presidentialvoteshare.2018","presidentialvoteshare.1984","presidentialvoteshare.1988","presidentialvoteshare.2010","presidentialvoteshare.2020","presidentialvoteshare.2022","presidentialvoteshare.1980","presidentialvoteshare.1982","presidentialvoteshare.2012","contributions.1986","contributions.1990","contributions.1992","contributions.1994","contributions.1996","contributions.1998","contributions.2000","contributions.2002","contributions.2004","contributions.2006","contributions.2008","contributions.2014","contributions.2016","contributions.2018","contributions.1984","contributions.1988","contributions.2010","contributions.2020","contributions.2022","contributions.1980","contributions.1982","contributions.2012"
"269","capito, shelley moore","20146",NA,NA,NA,NA,NA,NA,45,45,42,42,44,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,1367504,2581019,1604880,2440788,2217694,NA,NA,NA,NA,NA,1531270,NA,NA,NA,NA,2449473
"270","capps, lois","29774",NA,NA,NA,NA,NA,50,48,51,59,59,NA,58,NA,NA,NA,NA,67,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,1037670,1639838,1449620,1110383,874676,NA,2282305,NA,NA,NA,NA,955565,NA,NA,NA,NA,3320071
"271","capps, lois g","29774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","capps, walter h","29706",NA,NA,NA,NA,50,50,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,962629,100877,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","capuano, michael e","29919",NA,NA,NA,NA,NA,80,81,81,81,81,86,83,83,NA,NA,NA,86,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,648142,661252,753354,839302,836728,1087339,870555,759925,NA,NA,NA,943592,NA,NA,NA,NA,909487
"274","caraveo, yadira","22306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3563280,NA,NA,NA
"275","carbajal, salud","21709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3172597,NA,NA,NA,NA,2156445,NA,NA,NA,NA
"276","carbajal, salud o","21709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2759810,NA,NA,NA,NA,NA,NA,NA,NA
"277","cardenas, tony","21309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,76,82,NA,NA,NA,76,76,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013136,1705481,1523846,NA,NA,NA,1425670,1595441,NA,NA,844097
"278","cardin, benjamin l","15408",50,55,62,62,63,63,65,65,55,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,518530,532752,591234,493522,527180,638615,0,826919,940148,NA,NA,NA,NA,NA,NA,405789,NA,NA,NA,NA,NA,NA
"279","cardoza, dennis","20306",NA,NA,NA,NA,NA,NA,NA,46,50,50,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1656573,883668,1076223,1042844,NA,NA,NA,NA,NA,1180308,NA,NA,NA,NA,NA
"280","carey, mike","22162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2363799,NA,NA,NA
"281","carl, jerry lee, jr","22108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2344517,1313719,NA,NA,NA
"282","carman, gregory w","14804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260470,NA,NA
"283","carnahan, john russell","20516",NA,NA,NA,NA,NA,NA,NA,NA,57,57,61,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1399940,1263763,962397,NA,NA,NA,NA,NA,2127173,NA,NA,NA,NA,NA
"284","carney, christopher","20746",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1547532,2348311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","carney, john","21113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","carney, john charles jr","21113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2140065,NA,NA,NA,NA,1526893
"287","carney, william","14610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341272,NA,NA,NA,NA,148562,178105,NA
"288","carper, thomas r","15015",40,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,44,NA,NA,NA,NA,49,NA,326795,548682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365906,365432,NA,NA,NA,NA,148343,NA
"289","carr, bob","14210",36,42,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,42,NA,NA,NA,NA,42,NA,734919,397155,1107973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588034,534741,NA,NA,NA,NA,386632,NA
"290","carson, andre","20757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,67,67,62,NA,NA,72,64,72,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1652316,1155655,1121602,996034,NA,NA,951790,1020534,857306,NA,NA,1124042
"291","carson, brad r","20132",NA,NA,NA,NA,NA,NA,47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299849,1032158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","carson, julia","29720",NA,NA,NA,NA,59,59,61,37,58,58,72,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,574174,836119,507667,998497,586641,476139,16451,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"293","carter, earl leroy","21513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,42,NA,NA,NA,44,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271836,2093065,NA,NA,NA,2347613,2127329,NA,NA,NA
"294","carter, earl leroy buddy","21513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1825004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","carter, john rice","20356",NA,NA,NA,NA,NA,NA,NA,42,33,33,42,43,43,43,NA,NA,42,49,40,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,815289,1086204,876895,947704,996110,1062408,1820253,NA,NA,997508,2168868,1339836,NA,NA,885684
"296","carter, troy a sr","22158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3101798,NA,NA,NA
"297","cartwright, matt","21358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,45,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285727,969667,2432562,NA,NA,NA,3955709,NA,NA,NA,NA
"298","cartwright, matthew a","21358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5364344,NA,NA,1371676
"299","casar, greg","22307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1757510,NA,NA,NA
"300","case, ed","20322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561695,NA,NA,NA,NA,NA,NA,NA,NA
"301","case, edward","20322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606356,1058274,NA,NA,NA
"302","case, edward espenett","20322",NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","cassidy, william","20919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,42,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15550475,NA,NA,NA,NA,1584256,NA,NA,NA,NA,1797931
"304","cassidy, william bill","20919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1295446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","casten, sean","21906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6439712,NA,NA,NA,5706348,5577460,NA,NA,NA
"306","castle, michael n","29327",NA,NA,NA,55,59,59,57,57,54,54,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1480597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","castor, kathy","20708",NA,NA,NA,NA,NA,NA,NA,NA,NA,59,67,NA,66,60,NA,NA,67,58,60,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373273,631099,NA,735013,762449,NA,NA,887033,892192,1585897,NA,NA,1020415
"308","castro, joaquin","21362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,64,NA,NA,NA,65,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296472,NA,956681,NA,NA,NA,705568,682069,NA,NA,NA
"309","castro, joaquin rep","21362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1204584,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","cawthorn, david madison","22109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4718102,NA,NA,NA,NA
"311","chabot, steve","29550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949962,NA,NA,NA,3204552,NA,NA,NA,NA
"312","chabot, steven j","29550",NA,NA,NA,50,54,54,52,52,50,50,NA,48,48,NA,NA,NA,56,NA,NA,NA,NA,48,NA,NA,NA,555743,1068043,1571181,1083178,702171,610087,2669976,NA,938321,1017389,NA,NA,NA,2040665,NA,NA,NA,NA,1068816
"313","chaffetz, jason","20949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,31,31,NA,NA,NA,30,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443396,977465,1406796,NA,NA,NA,647194,NA,NA,NA,NA,807595
"314","chambliss, saxby","29512",NA,NA,NA,47,52,52,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686389,1076562,746022,1805868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","chandler, ben","20326",NA,NA,NA,NA,NA,NA,NA,NA,41,41,44,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,842603,1115946,1034158,NA,NA,NA,NA,NA,1674100,NA,NA,NA,NA,NA
"316","chandler, rod","15016",37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,43,NA,NA,NA,NA,NA,NA,259317,472433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308825,333019,NA,NA,NA,NA,347313,NA
"317","chapman, jim","15129",38,47,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,330654,533989,311558,610113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587159,NA,NA,NA,NA,NA,NA
"318","chappell, william v jr","12007",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,41,41,NA,279117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416237,NA,NA,NA,NA,125399,561840,NA
"319","chappie, eugene","14805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383348,NA,NA
"320","chappie, eugene gene","14805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373523,NA,NA,NA,NA,NA,453394,NA
"321","chavez deremer, lori","22308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2568276,NA,NA,NA
"322","cheney, elizabeth","21710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,24,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2206006,867840,NA,NA,NA,3010251,NA,NA,NA,NA
"323","cheney, richard bruce","14611",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,39,NA,NA,NA,31,31,NA,249552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211215,295437,NA,NA,NA,110949,110730,NA
"324","chenoweth, helen p","29514",NA,NA,NA,43,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799284,1131669,1357050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","cherfilus mccormick, sheila","22163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6779419,NA,NA,NA
"326","childers, travis w","20761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1851651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","chisholm, shirley","12008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32461,NA,NA
"328","chocola, j christopher","20324",NA,NA,NA,NA,NA,NA,NA,42,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1695148,1662745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","christensen, donna m","20765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177530,174302,233099,NA,NA,NA,NA,NA,279153,NA,NA,NA,NA,330274
"330","christensen, jon lynn","29536",NA,NA,NA,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966568,1771220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","christian christensen, donna","20765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","christian christensen, donna m","20765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","christian green, donna","20765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","christian green, donna marie","20765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","chrysler, richard r","29530",NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","chu, judy","20955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,70,NA,NA,69,69,67,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168164,NA,1401842,NA,NA,2502171,1220538,1587239,NA,NA,1523172
"337","cicilline, david n","21172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,68,63,NA,NA,66,65,65,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1388448,1523478,1595161,NA,NA,2054788,1587330,1981383,NA,NA,2405553
"338","ciscomani, juan","22309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3398847,NA,NA,NA
"339","cisneros, gilbert","21907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12265194,NA,NA,NA,NA,NA,NA,NA,NA
"340","clark, katherine","21375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,73,NA,NA,NA,76,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1317554,1492081,NA,NA,NA,1815928,2174712,NA,NA,NA
"341","clark, katherine m","21375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2246750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","clarke, hansen","21145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634549,NA,NA,NA,NA,NA
"343","clarke, james mcclure","15017",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,47,NA,427321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507787,NA,NA,NA,NA,279312,NA
"344","clarke, yvette","20733",NA,NA,NA,NA,NA,NA,NA,NA,NA,87,91,85,85,NA,NA,NA,91,82,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,640158,537752,624079,685410,NA,NA,NA,733049,1215129,NA,NA,NA,743730
"345","clarke, yvette d","20733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092047,NA,NA,NA,NA,796961,NA,NA,NA
"346","clausen, donald h","10579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453197,NA,NA
"347","clawson, curtis j","21377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4782657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","clay, william l sr","12009",63,72,78,78,79,79,NA,NA,NA,NA,NA,NA,NA,NA,63,72,NA,NA,NA,75,75,NA,230437,216480,336937,446679,318267,305967,NA,NA,NA,NA,NA,NA,NA,NA,179400,204094,NA,NA,NA,107680,303536,NA
"349","clay, william lacy jr","20147",NA,NA,NA,NA,NA,NA,80,80,75,75,81,81,81,80,NA,NA,81,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,127692,8134,0,0,674855,583584,660080,663729,NA,NA,693370,NA,NA,NA,NA,866835
"350","clayton, eva","29382",NA,NA,68,68,67,67,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551491,440813,282229,698750,499460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","cleaver ii, emanuel","20517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1215785,NA,NA,NA
"352","cleaver, emanuel ii","20517",NA,NA,NA,NA,NA,NA,NA,NA,60,60,65,63,63,57,NA,NA,65,60,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,1579723,669497,554099,986751,1165083,1172170,NA,NA,637380,1415880,NA,NA,NA,1154849
"353","clement, bob","15450",NA,48,59,59,59,59,59,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,449833,562141,515649,504397,453078,671553,NA,NA,NA,NA,NA,NA,NA,NA,325537,NA,NA,NA,NA,NA,NA
"354","cline, benjamin lee","21908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999245,NA,NA,NA,900313,993252,NA,NA,NA
"355","clinger, william f jr","14612",37,43,47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,43,NA,NA,NA,41,41,NA,702712,349208,286477,311501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347236,405262,NA,NA,NA,77650,121582,NA
"356","cloud, michael","21758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,38,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746292,NA,NA,NA,1019272,1076329,NA,NA,NA
"357","clyburn, james e","39301",NA,NA,67,67,68,68,64,64,61,61,65,71,71,69,NA,NA,65,68,66,NA,NA,71,NA,NA,422978,539536,251145,328727,581459,425558,692448,1134696,3076321,2206266,2183228,1992933,NA,NA,3338623,3447751,3592375,NA,NA,2405515
"358","clyde, andrew","22110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933971,819948,NA,NA,NA
"359","coats, daniel r","14806",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,NA,NA,NA,36,36,NA,291891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251237,351827,NA,NA,NA,240849,196619,NA
"360","cobey, william w jr","15091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527060,NA,NA,NA,NA,NA,NA,NA
"361","coble, john howard","15092",35,39,38,38,36,36,34,34,30,30,36,NA,NA,NA,35,39,36,NA,NA,NA,NA,43,595301,572043,504213,343124,592230,630224,566281,454906,419783,457914,569689,NA,NA,NA,382482,736254,503434,NA,NA,NA,NA,531611
"362","coburn, thomas a","29555",NA,NA,NA,54,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608233,1452829,521340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
