"","name","ICPSR2","presidentialvoteshare.1986","presidentialvoteshare.1990","presidentialvoteshare.1992","presidentialvoteshare.1994","presidentialvoteshare.1996","presidentialvoteshare.1998","presidentialvoteshare.2000","presidentialvoteshare.2002","presidentialvoteshare.2004","presidentialvoteshare.2006","presidentialvoteshare.2008","presidentialvoteshare.2014","presidentialvoteshare.2016","presidentialvoteshare.2018","presidentialvoteshare.1984","presidentialvoteshare.1988","presidentialvoteshare.2010","presidentialvoteshare.2020","presidentialvoteshare.2022","presidentialvoteshare.1980","presidentialvoteshare.1982","presidentialvoteshare.2012","contributions.1986","contributions.1990","contributions.1992","contributions.1994","contributions.1996","contributions.1998","contributions.2000","contributions.2002","contributions.2004","contributions.2006","contributions.2008","contributions.2014","contributions.2016","contributions.2018","contributions.1984","contributions.1988","contributions.2010","contributions.2020","contributions.2022","contributions.1980","contributions.1982","contributions.2012"
"20","allen, richard w","21516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44,42,NA,NA,NA,44,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2585921,1143613,1124624,NA,NA,NA,1232199,990713,NA,NA,NA
"21","allen, thomas h","29728",NA,NA,NA,NA,62,62,54,54,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,987266,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","allred, colin","21900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,55,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5972680,NA,NA,NA,5777600,3471592,NA,NA,NA
"23","altmire, jason","20743",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,44,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146418,2945104,NA,NA,NA,NA,NA,2503953,NA,NA,NA,NA,NA
"24","amash, justin","21143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,45,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1805117,688108,633938,NA,NA,1103513,NA,NA,NA,NA,1361048
"25","amata, aumua","21995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25185,78278,167191,NA,NA,NA,75727,57300,NA,NA,NA
"26","amodei, mark eugene","21196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,43,NA,NA,NA,NA,44,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705028,870350,1253236,NA,NA,NA,NA,1219753,NA,NA,1314808
"27","amodei, mark eugene eugene","21196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080122,NA,NA,NA,NA
"28","anderson, glenn m","12001",41,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,50,NA,NA,NA,47,47,NA,457477,411845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408096,493296,NA,NA,NA,137564,444603,NA
"29","andrews, ike","14001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74025,191829,NA
"30","andrews, michael allen","15001",47,51,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,51,NA,NA,NA,NA,54,NA,300074,539864,974838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329584,638035,NA,NA,NA,NA,646350,NA
"31","andrews, robert e","29132",NA,48,60,60,68,68,66,66,61,61,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,66,NA,542535,763301,706980,629607,639131,920729,821172,1039835,2218353,1618561,NA,NA,NA,NA,NA,1455172,NA,NA,NA,NA,1510757
"32","andrews, thomas h","29121",NA,44,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697604,861034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","annunzio, frank","10703",41,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,46,NA,NA,NA,51,51,NA,225627,723159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206371,260514,NA,NA,NA,108074,131216,NA
"34","anthony, beryl franklin jr","14601",44,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,47,NA,NA,NA,57,57,NA,390697,530662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218971,547244,NA,NA,NA,112992,337956,NA
"35","applegate, e douglas","14402",46,52,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,48,48,NA,104752,125772,117262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90282,NA,NA,NA,NA,62970,64369,NA
"36","archer, william r jr","13002",17,23,28,28,30,30,NA,NA,NA,NA,NA,NA,NA,NA,17,23,NA,NA,NA,23,23,NA,281736,241863,121947,284312,186482,142119,NA,NA,NA,NA,NA,NA,NA,NA,104052,269695,NA,NA,NA,285119,279509,NA
"37","arcuri, michael angelo","20736",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2233065,1612043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","arenholz, ashley hinson","22124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5178803,7191931,NA,NA,NA
"39","armey, richard k","15125",23,31,31,31,32,32,28,NA,NA,NA,NA,NA,NA,NA,23,31,NA,NA,NA,NA,NA,NA,557096,440375,483928,1177630,1248706,2061340,1373930,NA,NA,NA,NA,NA,NA,NA,392963,419632,NA,NA,NA,NA,NA,NA
"40","armstrong, kelly","21901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769589,NA,NA,NA,1273005,2168973,NA,NA,NA
"41","arrington, jodey cook","21700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,24,NA,NA,NA,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1593171,1368767,NA,NA,NA,2535448,2070672,NA,NA,NA
"42","ashford, brad","21533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","aspin, les","13003",44,52,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,52,NA,NA,NA,46,46,NA,503453,892153,1369976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372977,618045,NA,NA,NA,149455,199735,NA
"44","atkins, chester greenough","15084",43,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,48,NA,NA,NA,NA,NA,NA,559364,843893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858658,359508,NA,NA,NA,NA,NA,NA
"45","auchincloss, jake","22100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2873219,3067930,NA,NA,NA
"46","aucoin, les","14201",43,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,52,NA,NA,NA,44,44,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,294491,484928,NA
"47","austria, steve c","20940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1209741,NA,NA,NA,NA,NA,785806,NA,NA,NA,NA,NA
"48","axne, cindy","21902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5243412,NA,NA,NA,6294903,NA,NA,NA,NA
"49","babin, brian","21551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,26,NA,NA,NA,27,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1118764,1132000,1183031,NA,NA,NA,1359032,1054678,NA,NA,NA
"50","baca, joe","29942",NA,NA,NA,NA,NA,NA,59,46,59,59,69,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621539,490536,492473,686650,990891,NA,NA,NA,NA,NA,758696,NA,NA,NA,NA,NA
"51","bacchus, jim","29112",NA,29,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,877500,842030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","bachmann, michele","20728",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,46,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2626866,3493814,NA,NA,NA,NA,NA,13586744,NA,NA,NA,NA,30729663
"53","bachus, spencer thomas","29301",NA,NA,30,30,29,29,28,28,22,22,23,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,25,NA,NA,527406,458345,466986,648464,672429,1105801,1647636,1638815,1460651,NA,NA,NA,NA,NA,1415672,NA,NA,NA,NA,2725004
"54","bacon, donald","21701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2619424,NA,NA,NA,NA,NA,NA,NA,NA
"55","bacon, donald j","21701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3790455,3919223,NA,NA,NA
"56","bacon, donald john","21701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1607044,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","badham, robert e","14403",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,23,23,NA,360300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150389,NA,NA,NA,NA,127505,147439,NA
"58","baesler, henry scott","29353",NA,NA,49,49,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301557,203618,583576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","bafalis, l a skip","14003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111087,NA,NA
