"","black","born","district","committee_chair","congress","delegation_size","democrat","died","dwnom1","dwnom2","year_elected","female","freshman","icpsr","latino","les","majority_leader","majority","minority_leader","party_code","seniority","state","subcommittee_chair","name","vote_share","year","aapi"
"35",0,1916,5,0,93,10,1,1991,-0.504000008106232,0.171000003814697,1948,0,0,835,0,0,0,1,0,100,13,"MO",0,"Bolling, Richard",63,1973,0
"36",0,1932,2,0,93,5,1,NA,-0.13400000333786,0.708999991416931,1972,0,1,14005,0,0.588102042675018,0,1,0,100,1,"MS",0,"Bowen, David",62,1973,0
"37",0,1927,3,0,93,11,1,2016,-0.462000012397766,-0.0610000006854534,1958,0,0,948,0,5.62078523635864,1,1,0,100,8,"IN",1,"Brademas, John",55,1973,0
"38",0,1932,11,0,93,39,1,1998,-0.423000007867813,-0.150999993085861,1966,0,0,11004,0,0.585254311561584,0,1,0,100,4,"NY",0,"Brasco, Frank",64,1973,0
"39",0,1903,6,0,93,11,0,1979,0.234999999403954,0.108999997377396,1950,0,0,986,0,0.031010452657938,0,0,0,200,12,"IN",0,"Bray, William",65,1973,0
"40",0,1944,7,0,93,8,1,NA,-0.123000003397465,0.702000021934509,1972,0,1,13056,0,1.16380000114441,0,1,0,100,1,"LA",0,"Breaux, John",100,1973,0
"41",0,1913,6,0,93,7,1,1979,-0.223000004887581,0.197999998927116,1972,0,1,14006,0,0.483700215816498,0,1,0,100,1,"KY",0,"Breckinridge, John",52,1973,0
"42",0,1930,3,0,93,10,1,NA,-0.0729999989271164,0.700999975204468,1966,0,0,11005,0,0.217073172330856,0,1,0,100,4,"GA",0,"Brinkley, Jack",100,1973,0
"43",0,1922,9,0,93,24,1,2012,-0.407000005245209,0.725000023841858,1952,0,0,1077,0,2.58659482002258,0,1,0,100,11,"TX",1,"Brooks, Jack",66,1973,0
"44",0,1922,19,0,93,19,0,NA,0.226999998092651,-0.308999985456467,1956,0,0,1087,0,0.209837391972542,0,0,0,200,9,"MI",0,"Broomfield, William",70,1973,0
"45",0,1922,2,0,93,5,0,2004,0.157000005245209,-0.254000008106232,1962,0,0,10572,0,0.797007977962494,0,0,0,200,6,"CO",0,"Brotzman, Donald",66,1973,0
"46",0,1927,7,0,93,23,0,NA,0.300000011920929,-0.284000009298325,1965,0,0,10786,0,0.978265464305878,0,0,0,200,5,"OH",0,"Brown, Clarence",73,1973,0
"47",0,1923,3,0,93,19,0,1998,0.301999986171722,-0.476999998092651,1966,0,0,11006,0,0.0899303108453751,0,0,0,200,4,"MI",0,"Brown, Garry",59,1973,0
"48",0,1920,38,0,93,43,1,1999,-0.505999982357025,-0.0280000008642673,1972,0,1,10573,0,0.338621586561203,0,1,0,100,1,"CA",0,"Brown, George",56,1973,0
"49",0,1927,10,0,93,11,0,NA,0.268999993801117,0.0209999997168779,1962,0,0,10574,0,0.186062723398209,0,0,0,200,6,"NC",0,"Broyhill, James",73,1973,0
"50",0,1919,10,0,93,10,0,2006,0.158999994397163,0.223000004887581,1952,0,0,1154,0,2.42068958282471,0,0,0,200,11,"VA",0,"Broyhill, Joel",56,1973,0
"51",0,1928,6,0,93,7,0,NA,0.145999997854233,-0.118000000715256,1964,0,0,10706,0,0.031010452657938,0,0,0,200,5,"AL",0,"Buchanan, John",60,1973,0
"52",0,1921,42,0,93,43,0,2006,0.28099998831749,0.0189999993890524,1972,0,1,14007,0,0.137053623795509,0,0,0,200,1,"CA",0,"Burgener, Clair",68,1973,0
"53",1,1932,37,0,93,43,1,NA,-0.575999975204468,-0.177000001072884,1972,1,1,14008,0,0.127396136522293,0,1,0,100,1,"CA",0,"Burke, Yvonne",73,1973,0
"54",0,1910,11,0,93,12,1,1983,-0.400000005960464,0.151999995112419,1958,0,0,1265,0,0.789164543151855,0,1,0,100,8,"MA",0,"Burke, James",100,1973,0
"55",0,1906,17,0,93,24,1,1991,0.0020000000949949,1,1946,0,0,1282,0,0.130243897438049,0,1,0,100,14,"TX",0,"Burleson, Omar",100,1973,0
"56",0,1931,10,0,93,10,1,NA,-0.474999994039536,0.879999995231628,1968,0,0,12004,0,0.613518059253693,0,1,0,100,3,"MO",0,"Burlison, Bill",64,1973,0
"57",0,1932,6,0,93,43,1,NA,-0.412999987602234,-0.782999992370605,1974,0,1,14076,0,0.00826945435255766,0,1,0,100,1,"CA",0,"Burton, John",NA,1973,0
